VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF0383	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0384	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0385	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0386	Exotoxin; Intracellularly active toxin; Glycosyltransferase	false	Exotoxin; Intracellularly active toxin; Glycosyltransferase				Exotoxin	 Intracellularly active toxin	 Glycosyltransferase											
VF0387	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0388	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0389	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0390	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0391	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0392	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0393	Exotoxin; Intracellularly active toxin; Deamidase	false	Exotoxin; Intracellularly active toxin; Deamidase				Exotoxin	 Intracellularly active toxin	 Deamidase											
VF0394	Motility; Flagella-mediated motility; Flagella assembly	false	Motility; Flagella-mediated motility; Flagella assembly				Motility	 Flagella-mediated motility	 Flagella assembly											
VF0395	Antimicrobial activity/Competitive advantage	false	Antimicrobial activity/Competitive advantage				Antimicrobial activity/Competitive advantage													
VF0396	Antimicrobial activity/Competitive advantage	false	Antimicrobial activity/Competitive advantage				Antimicrobial activity/Competitive advantage													
VF0397	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)						
VF0398	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)						
VF0399	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0400	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve)						
VF0401	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVb pili (T4bP)										
VF0402	Effector delivery system; Type VII secretion system (T7SS); T7SSa components	false	Effector delivery system; Type VII secretion system (T7SS); T7SSa components				Effector delivery system	 Type VII secretion system (T7SS)	 T7SSa components											
VF0403	Effector delivery system; Type VII secretion system (T7SS); T7SSb components	false	Effector delivery system; Type VII secretion system (T7SS); T7SSb components				Effector delivery system	 Type VII secretion system (T7SS)	 T7SSb components											
VF0404	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0405	Biofilm; Quorum sensing	false	Biofilm; Quorum sensing				Biofilm	 Quorum sensing												
VF0406	Biofilm; Quorum sensing	false	Biofilm; Quorum sensing				Biofilm	 Quorum sensing												
VF0407	Exotoxin; Intracellularly active toxin; DNase/Genotoxin | Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	true	Exotoxin; Intracellularly active toxin; DNase/Genotoxin 	 Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)			Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin 			 Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)						
VF0408	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0409	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0410	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)											
VF0411	Adherence; Non-fimbrial adhesin | Biofilm; Biofilm formation	true	Adherence; Non-fimbrial adhesin 	 Biofilm; Biofilm formation			Adherence	 Non-fimbrial adhesin 				 Biofilm	 Biofilm formation							
VF0412	Immune modulation; Inflammatory signaling pathway | Effector delivery system; Type IV secretion system (T4SS); T4SS effectors	true	Immune modulation; Inflammatory signaling pathway 	 Effector delivery system; Type IV secretion system (T4SS); T4SS effectors			Immune modulation	 Inflammatory signaling pathway 				 Effector delivery system	 Type IV secretion system (T4SS)	 T4SS effectors						
VF0413	Immune modulation	false	Immune modulation				Immune modulation													
VF0415	Invasion	false	Invasion				Invasion													
VF0416	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Aerolysin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Aerolysin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT	 Aerolysin family									
VF0417	Exotoxin	false	Exotoxin				Exotoxin													
VF0418	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0419	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0420	Exoenzyme; Coagulase	false	Exoenzyme; Coagulase				Exoenzyme	 Coagulase												
VF0421	Exoenzyme; Coagulase	false	Exoenzyme; Coagulase				Exoenzyme	 Coagulase												
VF0422	Immune modulation; Apoptosis	false	Immune modulation; Apoptosis				Immune modulation	 Apoptosis												
VF0423	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0424	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0425	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0426	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0427	Motility; Intracellular motility	false	Motility; Intracellular motility				Motility	 Intracellular motility												
VF0428	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0429	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0430	Motility; Flagella-mediated motility; Flagella assembly	false	Motility; Flagella-mediated motility; Flagella assembly				Motility	 Flagella-mediated motility	 Flagella assembly											
VF0431	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0432	Regulation	false	Regulation				Regulation													
VF0433	Biofilm; Quorum sensing	false	Biofilm; Quorum sensing				Biofilm	 Quorum sensing												
VF0434	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0435	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0436	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0437	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Two-partner secretion (type Vb)						
VF0438	Immune modulation	false	Immune modulation				Immune modulation													
VF0439	Immune modulation	false	Immune modulation				Immune modulation													
VF0440	Immune modulation	false	Immune modulation				Immune modulation													
VF0441	Immune modulation	false	Immune modulation				Immune modulation													
VF0442	Immune modulation	false	Immune modulation				Immune modulation													
VF0443	Invasion	false	Invasion				Invasion													
VF0444	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0445	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0446	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0447	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0449	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0450	Antimicrobial activity/Competitive advantage	false	Antimicrobial activity/Competitive advantage				Antimicrobial activity/Competitive advantage													
VF0451	Antimicrobial activity/Competitive advantage	false	Antimicrobial activity/Competitive advantage				Antimicrobial activity/Competitive advantage													
VF0452	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0453	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0454	Stress survival	false	Stress survival				Stress survival													
VF0455	Stress survival	false	Stress survival				Stress survival													
VF0456	Stress survival	false	Stress survival				Stress survival													
VF0457	Stress survival	false	Stress survival				Stress survival													
VF0458	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0459	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0460	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0461	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0462	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0463	Regulation	false	Regulation				Regulation													
VF0464	Immune modulation; Apoptosis	false	Immune modulation; Apoptosis				Immune modulation	 Apoptosis												
VF0465	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0466	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0467	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore biosynthesis	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore biosynthesis				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system	 Siderophore biosynthesis									
VF0468	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0469	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0470	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0471	Biofilm; Quorum sensing	false	Biofilm; Quorum sensing				Biofilm	 Quorum sensing												
VF0472	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0473	Motility; Flagella-mediated motility	false	Motility; Flagella-mediated motility				Motility	 Flagella-mediated motility												
VF0474	Motility; Flagella-mediated motility	false	Motility; Flagella-mediated motility				Motility	 Flagella-mediated motility												
VF0475	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0476	Adherence; Fimbrial adhesin; Type IV pili; Type IVc (T4cP) (Tad-type pili)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVc (T4cP) (Tad-type pili)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVc (T4cP) (Tad-type pili)										
VF0477	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0478	Effector delivery system; Type II secretion system (T2SS); T2SS components	false	Effector delivery system; Type II secretion system (T2SS); T2SS components				Effector delivery system	 Type II secretion system (T2SS)	 T2SS components											
VF0479	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0480	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0481	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Aerolysin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Aerolysin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT	 Aerolysin family									
VF0482	Exotoxin; Intracellularly active toxin; Actin cross-linking domain (ACD)-containing toxin	false	Exotoxin; Intracellularly active toxin; Actin cross-linking domain (ACD)-containing toxin				Exotoxin	 Intracellularly active toxin	 Actin cross-linking domain (ACD)-containing toxin											
VF0486	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0487	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVA (T4ASS) components											
VF0488	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVA (T4ASS) components											
VF0489	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0490	Motility; Intracellular motility	false	Motility; Intracellular motility				Motility	 Intracellular motility												
VF0491	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0492	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0493	Invasion	false	Invasion				Invasion													
VF0494	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0495	Motility; Intracellular motility	false	Motility; Intracellular motility				Motility	 Intracellular motility												
VF0496	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0497	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0498	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0499	Invasion	false	Invasion				Invasion													
VF0500	Invasion	false	Invasion				Invasion													
VF0501	Invasion	false	Invasion				Invasion													
VF0502	Others	false	Others				Others													
VF0503	Effector delivery system; Type IV secretion system (T4SS); Type IVB (T4BSS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVB (T4BSS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVB (T4BSS) components											
VF0504	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0505	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)						
VF0506	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve)						
VF0507	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)						
VF0508	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)						
VF0509	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)						
VF0510	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)						
VF0511	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT										
VF0512	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0513	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0514	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0515	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0516	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0517	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0518	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0519	Motility; Flagella-mediated motility	false	Motility; Flagella-mediated motility				Motility	 Flagella-mediated motility												
VF0520	Immune modulation; Antigen variation	false	Immune modulation; Antigen variation				Immune modulation	 Antigen variation												
VF0521	Effector delivery system; Type VII secretion system (T7SS); T7SSa components	false	Effector delivery system; Type VII secretion system (T7SS); T7SSa components				Effector delivery system	 Type VII secretion system (T7SS)	 T7SSa components											
VF0522	Immune modulation; Inflammatory signaling pathway | Effector delivery system; Type IV secretion system (T4SS); T4SS effectors	true	Immune modulation; Inflammatory signaling pathway 	 Effector delivery system; Type IV secretion system (T4SS); T4SS effectors			Immune modulation	 Inflammatory signaling pathway 				 Effector delivery system	 Type IV secretion system (T4SS)	 T4SS effectors						
VF0523	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0524	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0525	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0526	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0527	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0528	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0529	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0530	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0531	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0532	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family | Motility; Flagella-mediated motility; Flagella secreted non-flagellar protein	true	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family 	 Motility; Flagella-mediated motility; Flagella secreted non-flagellar protein			Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Cytolysin ClyA family 	 Motility	 Flagella-mediated motility	 Flagella secreted non-flagellar protein						
VF0533	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Cytolysin ClyA family									
VF0534	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Cholesterol-Dependent Cytolysin (CDC) family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Cholesterol-Dependent Cytolysin (CDC) family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT	 Cholesterol-Dependent Cytolysin (CDC) family									
